table_schema,table_name,constraint_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
app,rental_audit_log,rental_audit_log_payment_schedule_id_fkey,payment_schedule_id,app,rental_payment_schedule,id
app,rental_audit_log,rental_audit_log_rental_id_fkey,rental_id,app,rentals,id
app,rental_documents,rental_documents_rental_id_fkey,rental_id,app,rentals,id
app,rental_participants,rental_participants_rental_id_fkey,rental_id,app,rentals,id
app,rental_payment_schedule,rental_payment_schedule_rental_id_fkey,rental_id,app,rentals,id
migration,in_app_notifications,in_app_notifications_associate_id_fkey,associate_id,migration,core_associates,id
migration,listing_approval_requests,listing_approval_requests_listing_id_fkey,listing_id,migration,core_listings,id
migration,listing_approval_requests,listing_approval_requests_reviewed_by_associate_id_fkey,reviewed_by_associate_id,migration,core_associates,id
migration,listing_approval_requests,listing_approval_requests_submitted_by_associate_id_fkey,submitted_by_associate_id,migration,core_associates,id
migration,market_center_notes,market_center_notes_market_center_id_fkey,market_center_id,migration,core_market_centers,id
migration,outside_agency_contacts,outside_agency_contacts_transaction_agent_id_fkey,transaction_agent_id,migration,transaction_agents,id
migration,outside_agency_contacts,outside_agency_contacts_transaction_id_fkey,transaction_id,migration,core_transactions,id
migration,team_associate_commissions,team_associate_commissions_team_id_fkey,team_id,migration,core_teams,id
migration,team_cap_history,team_cap_history_team_id_fkey,team_id,migration,core_teams,id
migration,team_caps,team_caps_team_id_fkey,team_id,migration,core_teams,id
migration,team_dates,team_dates_team_id_fkey,team_id,migration,core_teams,id
migration,team_notes,team_notes_team_id_fkey,team_id,migration,core_teams,id
migration,team_portal_settings,team_portal_settings_team_id_fkey,team_id,migration,core_teams,id
migration,transaction_documents,transaction_documents_transaction_id_fkey,transaction_id,migration,core_transactions,id
migration,transaction_status_history,transaction_status_history_transaction_id_fkey,transaction_id,migration,core_transactions,id
public,addresses,addresses_cityId_fkey,cityId,public,cities,id
public,addresses,addresses_countryId_fkey,countryId,public,countries,id
public,addresses,addresses_provinceId_fkey,provinceId,public,provinces,id
public,addresses,addresses_suburbId_fkey,suburbId,public,suburbs,id
public,associate_business_details,associate_business_details_associateId_fkey,associateId,public,associates,id
public,associate_business_details,associate_business_details_growthShareSponsorId_fkey,growthShareSponsorId,public,associates,id
public,associate_contact_details,associate_contact_details_associateId_fkey,associateId,public,associates,id
public,associate_third_party_integrations,associate_third_party_integrations_associateId_fkey,associateId,public,associates,id
public,associate_transfers,associate_transfers_associateId_fkey,associateId,public,associates,id
public,associate_transfers,associate_transfers_transferStatusId_fkey,transferStatusId,public,associate_transfer_statuses,id
public,associates,associates_marketCenterId_fkey,marketCenterId,public,market_centers,id
public,associates,associates_statusId_fkey,statusId,public,associate_statuses,id
public,associates,associates_teamId_fkey,teamId,public,teams,id
public,associates,associates_userId_fkey,userId,public,users,id
public,cities,cities_provinceId_fkey,provinceId,public,provinces,id
public,listing_associates,listing_associates_associateId_fkey,associateId,public,associates,id
public,listing_associates,listing_associates_listingId_fkey,listingId,public,listings,id
public,listing_building_area_features,listing_building_area_features_buildingInfoId_fkey,buildingInfoId,public,listing_building_infos,id
public,listing_building_area_features,listing_building_area_features_featureId_fkey,featureId,public,listing_building_area_feature_types,id
public,listing_building_infos,listing_building_infos_listingId_fkey,listingId,public,listings,id
public,listing_descriptions,listing_descriptions_listingId_fkey,listingId,public,listings,id
public,listing_descriptions,listing_descriptions_listingTypeId_fkey,listingTypeId,public,listing_types,id
public,listing_images,listing_images_documentId_fkey,documentId,public,documents,id
public,listing_images,listing_images_listingId_fkey,listingId,public,listings,id
public,listing_lightstone_validations,listing_lightstone_validations_listingId_fkey,listingId,public,listings,id
public,listing_mandate_infos,listing_mandate_infos_listingId_fkey,listingId,public,listings,id
public,listing_mandate_infos,listing_mandate_infos_mandateTypeId_fkey,mandateTypeId,public,listing_mandate_types,id
public,listing_marketing_urls,listing_marketing_urls_listingId_fkey,listingId,public,listings,id
public,listing_marketing_urls,listing_marketing_urls_marketingUrlTypeId_fkey,marketingUrlTypeId,public,listing_marketing_url_types,id
public,listing_p24_feed_items,listing_p24_feed_items_listingId_fkey,listingId,public,listings,id
public,listing_p24_feed_items,listing_p24_feed_items_statusId_fkey,statusId,public,listing_p24_feed_item_statuses,id
public,listing_price_details,listing_price_details_listingId_fkey,listingId,public,listings,id
public,listing_property_areas,listing_property_areas_listingId_fkey,listingId,public,listings,id
public,listing_property_areas,listing_property_areas_propertyAreaTypeId_fkey,propertyAreaTypeId,public,listing_property_area_types,id
public,listing_third_party_integrations,listing_third_party_integrations_listingId_fkey,listingId,public,listings,id
public,listings,listings_addressId_fkey,addressId,public,addresses,id
public,listings,listings_marketCenterId_fkey,marketCenterId,public,market_centers,id
public,listings,listings_saleOrRentTypeId_fkey,saleOrRentTypeId,public,listing_sale_or_rent_types,id
public,listings,listings_statusId_fkey,statusId,public,listing_statuses,id
public,listings,listings_statusTagId_fkey,statusTagId,public,listing_status_tags,id
public,market_centers,market_centers_addressId_fkey,addressId,public,addresses,id
public,market_centers,market_centers_statusId_fkey,statusId,public,market_center_statuses,id
public,provinces,provinces_countryId_fkey,countryId,public,countries,id
public,suburbs,suburbs_cityId_fkey,cityId,public,cities,id
public,teams,teams_marketCenterId_fkey,marketCenterId,public,market_centers,id
public,teams,teams_statusId_fkey,statusId,public,team_statuses,id
public,transaction_associate_payment_details,transaction_associate_payment_details_transactionAssociate_fkey,transactionAssociateId,public,transaction_associates,id
public,transaction_associates,transaction_associates_associateId_fkey,associateId,public,associates,id
public,transaction_associates,transaction_associates_contactId_fkey,contactId,public,contacts,id
public,transaction_associates,transaction_associates_transactionAssociateTypeId_fkey,transactionAssociateTypeId,public,transaction_associate_types,id
public,transaction_associates,transaction_associates_transactionId_fkey,transactionId,public,transactions,id
public,transaction_bonds,transaction_bonds_bondAttorneyId_fkey,bondAttorneyId,public,contacts,id
public,transaction_bonds,transaction_bonds_transactionFinancialInstitutionId_fkey,transactionFinancialInstitutionId,public,transaction_financial_institutions,id
public,transaction_bonds,transaction_bonds_transactionFinancingChannelId_fkey,transactionFinancingChannelId,public,transaction_financing_channels,id
public,transaction_bonds,transaction_bonds_transactionFinancingTypeId_fkey,transactionFinancingTypeId,public,transaction_financing_types,id
public,transaction_bonds,transaction_bonds_transactionId_fkey,transactionId,public,transactions,id
public,transaction_bonds,transaction_bonds_transferAttorneyId_fkey,transferAttorneyId,public,contacts,id
public,transaction_contacts,transaction_contacts_contactId_fkey,contactId,public,contacts,id
public,transaction_contacts,transaction_contacts_transactionContactTypeId_fkey,transactionContactTypeId,public,transaction_contact_types,id
public,transaction_contacts,transaction_contacts_transactionId_fkey,transactionId,public,transactions,id
public,transaction_descriptions,transaction_descriptions_transactionId_fkey,transactionId,public,transactions,id
public,transaction_documents,transaction_documents_documentId_fkey,documentId,public,documents,id
public,transaction_documents,transaction_documents_transactionId_fkey,transactionId,public,transactions,id
public,transaction_notes,transaction_notes_transactionId_fkey,transactionId,public,transactions,id
public,transactions,transactions_listingId_fkey,listingId,public,listings,id
public,transactions,transactions_statusId_fkey,statusId,public,transaction_statuses,id
public,user_roles,user_roles_roleId_fkey,roleId,public,roles,id
public,user_roles,user_roles_userId_fkey,userId,public,users,id
