schema_name,table_name,row_count
app,rental_audit_log,19
app,rental_documents,2
app,rental_participants,5
app,rental_payment_schedule,43
app,rentals,6
migration,agent_deregistration_log,5
migration,agent_reactivation_log,4
migration,associate_admin_market_centers,35
migration,associate_admin_teams,112
migration,associate_documents,1200
migration,associate_job_titles,9462
migration,associate_notes,0
migration,associate_roles,9701
migration,associate_service_communities,295
migration,associate_social_media,0
migration,associates_prepared,0
migration,core_associates,9227
migration,core_listings,139978
migration,core_market_centers,48
migration,core_teams,219
migration,core_transactions,30120
migration,id_map_associates,9225
migration,id_map_legacy_associates,0
migration,id_map_legacy_listings,0
migration,id_map_legacy_market_centers,0
migration,id_map_listings,139968
migration,id_map_market_centers,48
migration,id_map_teams,219
migration,in_app_notifications,32
migration,listing_agents,145929
migration,listing_approval_requests,3
migration,listing_contacts,0
migration,listing_features,763167
migration,listing_images,2524075
migration,listing_mandate_documents,222136
migration,listing_marketing_urls,34462
migration,listing_open_house,0
migration,listing_property_areas,1421790
migration,listing_show_times,2
migration,listing_transfer_log,7
migration,listings_prepared,0
migration,load_rejections,0
migration,market_center_notes,0
migration,market_centers_prepared,0
migration,mc_dashboard_daily_snapshots,27
migration,mc_document_hub,5
migration,outside_agency_contacts,0
migration,team_associate_commissions,2
migration,team_cap_history,0
migration,team_caps,215
migration,team_dates,210
migration,team_notes,0
migration,team_portal_settings,2
migration,teams_prepared,0
migration,transaction_agent_calculations,42440
migration,transaction_agents,42450
migration,transaction_documents,0
migration,transaction_status_history,0
migration,transactions_prepared,0
public,SoftDeleteHelper,0
public,addresses,125547
public,app_users,15
public,associate_business_details,9151
public,associate_contact_details,9151
public,associate_statuses,5
public,associate_third_party_integrations,0
public,associate_transfer_statuses,0
public,associate_transfers,0
public,associates,119707
public,audit_logs,0
public,cities,379925
public,cma_documents,9
public,contacts,56552
public,countries,468
public,documents,2826651
public,email_types,0
public,icon_types,0
public,listing_associate_types,0
public,listing_associates,141938
public,listing_building_area_feature_types,0
public,listing_building_area_features,0
public,listing_building_infos,0
public,listing_building_zoning_types,0
public,listing_descriptions,0
public,listing_document_types,0
public,listing_images,2489338
public,listing_lightstone_validation_statuses,0
public,listing_lightstone_validations,0
public,listing_loom_validation_statuses,0
public,listing_mandate_infos,124866
public,listing_mandate_types,6
public,listing_marketing_url_types,1
public,listing_marketing_urls,9883
public,listing_ownership_types,0
public,listing_p24_feed_item_statuses,0
public,listing_p24_feed_items,0
public,listing_price_details,124866
public,listing_property_area_types,138
public,listing_property_areas,918636
public,listing_property_feature_listing_sub_types,0
public,listing_property_feature_listing_types,0
public,listing_sale_or_rent_types,3
public,listing_status_tags,0
public,listing_statuses,3
public,listing_sub_types,0
public,listing_third_party_integrations,124866
public,listing_types,0
public,listings,124866
public,loom_user_tokens,1
public,market_center_statuses,2
public,market_centers,624
public,marketing_plan_documents,3
public,provinces,3822
public,public_leads,0
public,referral_statuses,0
public,referral_types,0
public,roles,0
public,suburbs,17322625
public,team_statuses,2
public,teams,2847
public,transaction_associate_payment_details,527554
public,transaction_associate_types,4
public,transaction_associates,527570
public,transaction_bonds,0
public,transaction_contact_types,3
public,transaction_contacts,86670
public,transaction_descriptions,28618
public,transaction_documents,80599
public,transaction_financial_institutions,0
public,transaction_financing_channels,0
public,transaction_financing_types,0
public,transaction_notes,0
public,transaction_statuses,6
public,transactions,28618
public,user_roles,0
public,users,0
staging,associate_admin_market_centers_raw,29
staging,associate_admin_teams_raw,112
staging,associate_business_details_raw,9175
staging,associate_commissions_raw,9175
staging,associate_dates_raw,9185
staging,associate_documents_raw,8752
staging,associate_job_titles_raw,9460
staging,associate_roles_raw,9698
staging,associate_service_communities_raw,294
staging,associate_third_party_raw,9175
staging,associates_raw,9224
staging,listing_associates,146207
staging,listing_documents_raw,228650
staging,listing_features_raw,642453
staging,listing_images_raw,2627287
staging,listing_marketing_urls_raw,14110
staging,listing_p24_feed_items_raw,128
staging,listing_property_areas_raw,1473692
staging,listings_raw,128769
staging,market_centers_raw,48
staging,portal_fields_raw,128509
staging,portal_fields_raw_norm,128509
staging,ssms_listing_area_features_flat_raw,642762
staging,ssms_listing_building_area_features_raw,72759
staging,ssms_listing_building_info_internet_raw,27780
staging,ssms_listing_building_info_public_transport_raw,27780
staging,ssms_listing_building_info_raw,128760
staging,ssms_listing_building_info_sustainability_raw,27780
staging,ssms_listing_details_raw,9343452
staging,ssms_listing_property_area_features_raw,642759
staging,ssms_listing_property_areas_raw,1474424
staging,team_associate_comm_raw,0
staging,team_caps_raw,215
staging,team_dates_raw,210
staging,team_notes_raw,0
staging,team_third_party_raw,0
staging,teams_raw,219
staging,transaction_agents,47047
staging,transaction_associate_payment_details,47044
staging,transaction_bonds,29522
staging,transaction_contacts_raw,0
staging,transaction_documents_raw,0
staging,transaction_notes,0
staging,transactions_raw,30108
