"source_associate_id","source_team_id"
"638","88"
"706","79"
"736","274"
"1647","274"
"1984","274"
"3153","274"
"3506","276"
"3591","274"
"3814","274"
"3836","153"
"3980","186"
"4116","274"
"4193","205"
"4193","243"
"4225","352"
"4490","323"
"4589","346"
"4780","88"
"5162","88"
"5823","281"
"6002","344"
"6003","344"
"6231","195"
"6268","352"
"6281","243"
"6393","247"
"6751","267"
"6755","221"
"6756","221"
"7196","195"
"7247","205"
"7405","274"
"7544","232"
"7622","88"
"7622","245"
"7622","280"
"7749","220"
"7767","221"
"7840","353"
"7944","339"
"8088","88"
"8088","245"
"8088","280"
"8089","277"
"8247","339"
"8298","354"
"8314","274"
"8343","245"
"8458","274"
"8558","258"
"8602","350"
"8689","267"
"8691","195"
"8692","182"
"8692","205"
"8692","232"
"8692","243"
"8692","275"
"8709","182"
"8771","274"
"8792","351"
"8823","348"
"8854","351"
"8855","299"
"8881","280"
"8885","274"
"8888","275"
"8889","275"
"8899","277"
"8942","274"
"8951","277"
"8987","258"
"9047","267"
"9059","321"
"9066","186"
"9125","320"
"9197","351"
"9212","258"
"9226","351"
"9229","275"
"9286","182"
"9521","363"
"9557","186"
"9565","337"
"9643","351"
"9680","322"
"9748","337"
"9749","323"
"9750","351"
"9752","351"
"9812","348"
"9828","338"
"9831","349"
"9919","350"
"9932","343"
"9949","343"
"10013","345"
"10068","274"
"10070","347"
"10071","347"
"10078","348"
"10126","348"
"10135","351"
"10270","351"
"10275","351"
"10418","280"
"10436","280"
"10511","362"
"10518","362"
"10523","274"
"10524","274"
"10551","280"
